Drug_ID,Predicted_Score
17431641,0.034108233
24782659,0.0019115028
852001,0.0014194755
22400819,0.0043772548
24837170,0.0014425602
24837432,0.012430328
24799320,0.0024749353
24783847,0.0020795134
4252023,0.03845527
852984,0.00235345
17517481,0.0016454996
4246638,0.0045521995
22402722,0.0012057045
22407862,0.0018976515
4260499,0.002283165
24811724,0.002796542
862758,0.00963736
7975799,0.06391354
7970590,0.002455129
7965571,0.24144226
14732933,0.14263627
26751279,0.004268494
7969397,0.010697527
22409964,0.0689531
7971529,0.0043158703
17433361,0.0039354837
22404257,0.0090048425
24805611,0.0024328155
865215,0.0057877954
4255679,0.008313282
848497,0.013901216
22409471,0.013656162
14724284,0.0012688852
14728482,0.0012418808
17411616,0.0034115564
26666897,0.006184699
26751249,0.0037892715
26664150,0.029319402
26670857,0.0059556942
22414661,0.0024956937
4263416,0.0011837899
50107828,0.0020826894
24793313,0.0030860591
24808222,0.0048305974
24816013,0.0027719697
7973618,0.0012306626
17384977,0.016783735
24821335,0.0045889886
17407647,0.0013271058
14742784,0.009623763
24789925,0.007262107
24802805,0.0019038827
17506895,0.0046323645
22412314,0.0015757575
24788568,0.020965967
14737886,0.0026294733
17507800,0.014045675
860098,0.002310174
4260033,0.0042116526
26730712,0.00071550964
26747456,0.0016853444
22402575,0.009426228
24809956,0.0019986075
50108444,0.00070148485
14741446,0.005934008
862173,0.0014170774
24802136,0.0020515283
17514955,0.002673292
24791916,0.0075141895
17415359,0.061822183
24841695,0.012215455
24828418,0.0014071073
4260131,0.010517393
4239866,0.012402222
14728861,0.0035395944
17385115,0.0041151084
4240184,0.0026617113
14740954,0.003482277
7977829,0.0027174396
866097,0.0011628967
4255657,0.016495816
24807318,0.005667276
846820,0.0008814801
24809556,0.011770381
24806880,0.0062868274
24794496,0.002087536
4254577,0.0017624517
24800774,0.0034195194
24789830,0.003783496
7975453,0.007153602
17516670,0.0020437303
14745162,0.0074565094
24829887,0.0016670894
14743305,0.0040585278
4251081,0.014315734
14721779,0.0016189136
26751234,0.005136004
4240773,0.0040722783
17407828,0.003577915
17407213,0.01125815
24806762,0.19728686
22405123,0.008475039
3711119,0.0023622348
24821469,0.01660511
3716142,0.002145305
17389527,0.002298497
26730853,0.000978178
7973541,0.024856176
24808505,0.00085907854
24794233,0.041737717
22404516,0.0041139675
14746878,0.0061984304
17433440,0.008507243
22415985,0.0032469125
4262768,0.0005566534
22413270,0.00097162696
4238239,0.012057846
24836085,0.004827937
4251553,2.0224877e-06
22406523,0.042685296
24832080,0.0033166315
17510166,0.0019586904
4256828,0.0037700874
17407839,0.0014611913
24798447,0.0016808897
7964567,0.0038082534
24802532,0.01245343
7971460,0.054760423
24835080,0.02083997
7968530,0.008592786
22405743,0.0010351938
24783517,0.6554375
14737537,0.004251168
4258407,0.011749295
842307,0.0050642085
17401542,0.011155544
7968771,0.0040722163
22401610,0.0020599193
4254918,0.0034044401
4242734,0.004173761
16953897,0.0050503905
22403100,0.0394328
4256018,0.021766508
17411505,0.0072646034
4261889,0.0050159907
3716607,0.32907128
14730277,0.009380649
26756214,0.004278544
4246373,0.02940137
3715285,0.02863934
26747574,0.0011025944
24841129,0.0029219687
24786056,0.01627275
24822283,0.0037521594
26663628,0.019593002
24837338,0.006220343
4249625,0.027268292
17433196,0.0061217193
851180,0.011675153
24782581,0.01866901
861243,0.012208265
17412382,0.024415866
14740450,0.0046726703
4243843,0.008388942
24793471,0.00090862386
14729593,0.2730048
14741017,0.002916904
4262253,0.011401418
24827371,0.016093086
26751492,0.015506451
24811079,0.0009738049
17508425,0.034173768
17505041,0.025851684
17505938,0.003313479
7972789,0.0065167737
22412110,0.004912834
4265444,0.004867388
4248719,0.00414449
14738427,0.004033878
24782765,0.006739102
865733,0.0017539891
17432947,0.0010511501
4263817,0.010764569
14737273,0.0086927675
17506359,0.025389541
3714774,0.0007920767
4246503,0.013423202
26752409,0.0038177061
22407241,0.04632721
851226,0.0060629915
24800445,0.0036379392
7970562,0.006286452
17414679,0.0014848391
14735927,0.020481087
14733312,0.0008697829
22409549,0.0019531753
4239225,0.004018974
14738319,0.008914352
14739145,0.050255433
16953486,0.0064613563
864754,0.0020400672
24824176,0.005269151
17403009,0.012865666
4241575,0.011022883
22401823,0.0283984
7978271,0.013917768
861029,0.0034297653
7977667,0.0015204607
50109595,0.00066663016
4256228,0.050133433
24831408,0.0034949586
24816445,0.0033445926
14721504,0.23018003
11111203,0.003916124
24828123,0.0039087646
7965162,0.022612821
852604,0.0031419576
17505079,0.009928237
17413906,0.017642308
14740808,0.007984927
14725374,0.03424093
851472,0.0011824556
22401980,0.0016499566
7977204,0.00079989654
14721324,0.0018112169
17412329,0.049580373
850435,0.0009992865
14727702,0.0066120094
14725623,0.0019529298
22408268,0.0030379319
24781710,0.0016336498
24819916,0.006165286
17411214,0.001216136
3713678,0.009412541
24801433,0.0013319985
