Drug_ID,Predicted_Score
17431641,0.11139857
24782659,0.0019367923
852001,0.0052920333
22400819,0.009191648
24837170,0.0015267631
24837432,0.0030486453
24799320,0.002243863
24783847,0.007044233
4252023,0.008008243
852984,0.0060704867
17517481,0.0027379105
4246638,0.0027088015
22402722,0.000821128
22407862,0.0017798193
4260499,0.0053943982
24811724,0.0051327203
862758,0.0094137145
7975799,0.004806814
7970590,0.0012310141
7965571,0.015820773
14732933,0.011130849
26751279,0.009843366
7969397,0.008241935
22409964,0.45918915
7971529,0.0012795135
17433361,0.015427884
22404257,0.014267912
24805611,0.0025456
865215,0.010330371
4255679,0.0046434505
848497,0.011757569
22409471,0.042523127
14724284,0.0018695565
14728482,0.004971163
17411616,0.006175176
26666897,0.008399019
26751249,0.006014573
26664150,0.025844017
26670857,0.0044008675
22414661,0.0013561797
4263416,0.0013036217
50107828,0.0006657613
24793313,0.016586816
24808222,0.006196146
24816013,0.057666466
7973618,0.0018095787
17384977,0.015352759
24821335,0.0015328338
17407647,0.0031323512
14742784,0.00416778
24789925,0.0046964376
24802805,0.006308626
17506895,0.004465509
22412314,0.0014995185
24788568,0.009594761
14737886,0.0010960402
17507800,0.016364826
860098,0.0010023635
4260033,0.0015780337
26730712,0.0010625883
26747456,0.008814629
22402575,0.009431687
24809956,0.0026221517
50108444,0.0012299013
14741446,0.018070973
862173,0.003590957
24802136,0.0011751631
17514955,0.001131772
24791916,0.0069265314
17415359,0.1745707
24841695,0.03282735
24828418,0.0013599299
4260131,0.013163932
4239866,0.018440278
14728861,0.0014389051
17385115,0.0031290166
4240184,0.016788134
14740954,0.009941327
7977829,0.0019813585
866097,0.0031494445
4255657,0.009778658
24807318,0.0018551986
846820,0.003675574
24809556,0.062928006
24806880,0.005809457
24794496,0.001239159
4254577,0.0020560143
24800774,0.0029327243
24789830,0.007948914
7975453,0.01817351
17516670,0.019651888
14745162,0.016494408
24829887,0.0035328886
14743305,0.0044430364
4251081,0.010979873
14721779,0.0047309976
26751234,0.0057312357
4240773,0.006592344
17407828,0.0038812824
17407213,0.037308525
24806762,0.56168437
22405123,0.0061215255
3711119,0.0018016978
24821469,0.01314501
3716142,0.0053428505
17389527,0.02104546
26730853,0.002225941
7973541,0.009468579
24808505,0.0020608068
24794233,0.019161448
22404516,0.003504376
14746878,0.009091612
17433440,0.010512383
22415985,0.005468862
4262768,0.00079424476
22413270,0.0012338627
4238239,0.0123402495
24836085,0.004422229
4251553,0.013787354
22406523,0.009466812
24832080,0.018823694
17510166,0.0037950329
4256828,0.0073109167
17407839,0.018736478
24798447,0.0023743447
7964567,0.023906194
24802532,0.011887243
7971460,0.054793295
24835080,0.014048996
7968530,0.0042558056
22405743,0.007179767
24783517,0.022552593
14737537,0.0074784397
4258407,0.0017810236
842307,0.008955311
17401542,0.002646679
7968771,0.0030437447
22401610,0.0031101275
4254918,0.011088833
4242734,0.002114216
16953897,0.052496217
22403100,0.030639043
4256018,0.009859906
17411505,0.0023066513
4261889,0.013473346
3716607,0.0864204
14730277,0.008647656
26756214,0.021633977
4246373,0.04441035
3715285,0.014829398
26747574,0.0009714044
24841129,0.0017020653
24786056,0.0027389368
24822283,0.013989642
26663628,0.011983807
24837338,0.017130598
4249625,0.028760124
17433196,0.0019743023
851180,0.002758883
24782581,0.007132895
861243,0.0031924772
17412382,0.10864583
14740450,0.0023676045
4243843,0.070046775
24793471,0.0024755877
14729593,0.082314976
14741017,0.00103168
4262253,0.0062528513
24827371,0.050505575
26751492,0.0011191858
24811079,0.00081138295
17508425,0.021841424
17505041,0.31600842
17505938,0.0032848795
7972789,0.0030889653
22412110,0.0028638777
4265444,0.009314126
4248719,0.006690578
14738427,0.011081505
24782765,0.0075700874
865733,0.00277603
17432947,0.0012328863
4263817,0.008408945
14737273,0.016943203
17506359,0.014085052
3714774,0.0027129604
4246503,0.027506001
26752409,0.0034094579
22407241,0.03595571
851226,0.011122773
24800445,0.008225216
7970562,0.006239743
17414679,0.002135834
14735927,0.037486065
14733312,0.0028111313
22409549,0.003284486
4239225,0.021532446
14738319,0.015381438
14739145,0.09287089
16953486,0.009526723
864754,0.0030600082
24824176,0.004997512
17403009,0.003734457
4241575,0.029966319
22401823,0.006715739
7978271,0.029956143
861029,0.0032426359
7977667,0.002213514
50109595,0.0015682008
4256228,0.026981346
24831408,0.009259717
24816445,0.0033613066
14721504,0.09791999
11111203,0.0044728876
24828123,0.008432116
7965162,0.01909716
852604,0.006375407
17505079,0.0028933533
17413906,0.028105706
14740808,0.0071184696
14725374,0.011582603
851472,0.0016339188
22401980,0.0043771635
7977204,0.004878285
14721324,0.0020667927
17412329,0.20279254
850435,0.0017601547
14727702,0.015598708
14725623,0.0024518592
22408268,0.0036773593
24781710,0.0028083525
24819916,0.0070562107
17411214,0.003173546
3713678,0.018681128
24801433,0.0021704496
859768,0.004485914
848766,0.01254091
3711368,0.013177889
17513418,0.011208546
14735402,0.070541926
7973289,0.0020601596
14730187,0.0022909804
857756,0.003002374
22401476,0.05263267
846014,0.0025821454
4265654,0.0065475786
24794432,0.0043091113
24798734,0.0045697996
4242571,0.0012947934
7969007,0.0067361174
14720645,0.0013887295
24786310,0.003934385
14721942,0.018788256
24835414,0.008293787
22415603,0.008072202
11113856,0.001962712
856892,0.0068274103
850454,0.050729938
26729975,0.017890172
857498,0.0026240305
4238169,0.003922041
14744941,0.003387178
14729260,0.002734698
7971020,0.0023882145
24831348,0.0027540682
24828192,0.0017190408
24825171,0.0011259634
24797752,0.0035126014
17509529,0.002751551
11532974,0.004300919
7978412,0.0072182408
24794095,0.0034865327
26729861,0.048042476
7964749,0.005757967
17431986,0.04790055
17414221,0.06643595
3715335,0.0030371451
24781017,0.0009226134
17515089,0.06218626
14726885,0.0026945844
26755950,0.013811658
24803667,0.007011158
17385187,0.0036829733
24802064,0.005449376
26665503,0.00268477
4245955,0.053304404
865879,0.0035111532
7978001,0.006850561
7964725,0.001388454
17415539,0.02601831
22410136,0.0038138707
4247619,0.004015252
7970729,0.0013656021
24801434,0.012438022
17409125,0.022039972
17510167,0.018546768
24789007,0.0033045684
22413733,0.024048377
7974307,0.0007360065
