221900,3,1,1180,5650,3,7,1180,1955,1340,5650
538000,3,2.25,2570,7242,3,7,2170,1951,1690,7639
180000,2,1,770,10000,3,6,770,1933,2720,8062
604000,4,3,1960,5000,5,7,1050,1965,1360,5000
510000,3,2,1680,8080,3,8,1680,1987,1800,7503
1.225e+006,4,4.5,5420,101930,3,11,3890,2001,4760,101930
257500,3,2.25,1715,6819,3,7,1715,1995,2238,6819
291850,3,1.5,1060,9711,3,7,1060,1963,1650,9711
229500,3,1,1780,7470,3,7,1050,1960,1780,8113
323000,3,2.5,1890,6560,3,7,1890,2003,2390,7570
662500,3,2.5,3560,9796,3,8,1860,1965,2210,8925
468000,2,1,1160,6000,4,7,860,1942,1330,6000
310000,3,1,1430,19901,4,7,1430,1927,1780,12697
400000,3,1.75,1370,9680,4,7,1370,1977,1370,10208
530000,5,2,1810,4850,3,7,1810,1900,1360,4850
650000,4,3,2950,5000,3,9,1980,1979,2140,4000
395000,3,2,1890,14040,3,7,1890,1994,1890,14018
485000,4,1,1600,4300,4,7,1600,1916,1610,4300
189000,2,1,1200,9850,4,7,1200,1921,1060,5095
230000,3,1,1250,9774,4,7,1250,1969,1280,8850
385000,4,1.75,1620,4980,4,7,860,1947,1400,4980
2e+006,3,2.75,3050,44867,3,9,2330,1968,4110,20336
285000,5,2.5,2270,6300,3,8,2270,1995,2240,7005
252700,2,1.5,1070,9643,3,7,1070,1985,1220,8386
329000,3,2.25,2450,6500,4,8,2450,1985,2200,6865
233000,3,2,1710,4697,5,6,1710,1941,1030,4705
937000,3,1.75,2450,2691,3,8,1750,1915,1760,3573
667000,3,1,1400,1581,5,8,1400,1909,1860,3861
438000,3,1.75,1520,6380,3,7,790,1948,1520,6235
719000,4,2.5,2570,7173,3,8,2570,2005,2630,6026
580500,3,2.5,2320,3980,3,8,2320,2003,2580,3980
280000,2,1.5,1190,1265,3,7,1190,2005,1390,1756
687500,4,1.75,2330,5000,4,7,1510,1929,1460,5000
535000,3,1,1090,3000,4,8,1090,1929,1570,5080
322500,4,2.75,2060,6659,3,7,1280,1981,2020,8720
696000,3,2.5,2300,3060,3,8,1510,1930,1590,3264
550000,4,1,1660,34848,1,5,930,1933,2160,11467
640000,4,2,2360,6000,4,8,2360,1904,1730,4700
240000,4,1,1220,8075,2,7,890,1969,1290,7800
605000,4,2.5,2620,7553,3,8,2620,1996,2620,11884
625000,4,2.5,2570,5520,3,9,2570,2000,2470,5669
775000,4,2.25,4220,24186,3,8,2600,1984,2410,30617
861990,5,2.75,3595,5639,3,9,3595,2014,3625,5639
685000,3,1,1570,2280,3,7,1570,1922,1580,2640
309000,3,1,1280,9656,4,6,920,1959,1340,8808
488000,3,2.5,3160,13603,3,8,3160,2003,3050,9232
210490,3,1,990,8528,3,6,990,1966,1228,8840
785000,4,2.5,2290,13416,4,9,2290,1981,2680,13685
450000,3,1.75,1250,5963,4,7,1250,1953,970,5100
1.35e+006,3,2.5,2753,65005,5,9,2165,1953,2680,72513
228000,3,1,1190,9199,3,7,1190,1955,1190,9364
345000,5,2.5,3150,9134,4,8,1640,1966,1990,9133
600000,3,1.75,1410,4080,4,7,1000,1950,1410,4080
585000,2,1.75,1980,8550,3,7,990,1981,1480,6738
920000,5,2.25,2730,6000,3,8,2130,1927,2730,6000
885000,4,2.5,2830,5000,3,9,2830,1995,1950,5000
292500,4,2.5,2250,4495,3,7,2250,2008,2250,4500
301000,3,2.5,2420,4750,3,8,2420,2003,2690,4750
951000,5,3.25,3250,14342,4,8,3250,1968,2960,11044
430000,4,3,1850,9976,3,8,1850,1991,2270,8542
650000,3,2.25,2150,21235,4,8,1590,1959,2570,18900
289000,3,1.75,1260,8400,3,7,1260,1954,1290,8750
505000,3,1.75,2519,8690,5,8,2519,1973,2500,9500
549000,3,1.75,1540,1044,3,8,1540,2014,1580,3090
425000,3,2.25,1660,6000,3,7,1110,1979,1440,4080
317625,3,2.75,2770,3809,5,7,1770,1925,1440,4000
975000,4,2.5,2720,11049,3,10,2720,1989,2750,11049
287000,4,2.5,2240,4648,3,7,2240,2005,2221,4557
204000,3,1,1000,12070,4,7,1000,1968,1010,12635
1.325e+006,5,2.25,3200,20158,3,8,1600,1965,3390,20158
1.04e+006,5,3.25,4770,50094,4,11,3070,1973,3530,38917
325000,3,2,1260,5612,4,7,1260,1972,1640,4745
571000,4,2,2750,7807,5,7,2250,1916,1510,7807
360000,4,2.5,2380,5000,3,8,2380,2005,2420,5000
349000,3,1.75,1790,50529,5,7,1090,1965,1940,50529
832500,4,4,3430,35102,4,10,2390,1986,3240,35020
380000,4,1.75,1760,7300,3,7,880,1956,1680,7500
480000,3,1,1040,5060,3,7,1040,1941,890,5060
410000,3,1,1410,5060,4,7,910,1956,1130,5693
720000,4,2.5,3450,39683,3,10,3450,2002,3350,39750
390000,3,2.5,2350,5100,3,8,2350,2003,2350,5363
360000,4,2.5,1900,5889,3,7,1900,1992,1870,6405
355000,2,1,2020,6720,3,7,1010,1948,1720,6720
356000,3,1.5,1680,8712,3,8,1680,1964,1850,8797
315000,3,1,960,6634,3,6,960,1952,1570,7203
940000,3,1.5,2140,3600,3,9,1900,1925,2020,4800
305000,5,2.25,2660,8400,5,7,2660,1961,1590,8165
461000,3,3.25,2770,6278,3,9,1980,2006,1900,7349
215000,2,2.25,1610,2040,4,7,1610,1979,1950,2025
335000,2,1.75,1030,1066,3,7,765,2006,1030,1106
243500,4,2.5,1980,7403,3,7,1980,1988,1980,7510
1.09988e+006,5,2.75,3520,6353,4,10,3520,2001,2520,6250
153000,3,1,1200,10500,3,7,1200,1962,1350,10500
430000,3,1.5,1580,5000,3,8,1290,1939,1570,4500
700000,3,1.5,1580,5000,3,8,1290,1939,1570,4500
905000,4,2.5,3300,10250,3,7,2390,1946,1950,6045
247500,3,1.75,1960,15681,3,7,1960,1967,1750,15616
199000,4,1.5,1160,6400,4,7,1160,1975,1160,6400
314000,3,1.75,1810,41800,5,7,1210,1980,1650,135036
437500,3,2.5,2320,36847,3,9,2320,1992,2550,35065
850830,3,2.5,2070,13241,5,9,1270,1910,2200,4500
555000,3,2,1980,3478,4,7,1440,1929,1610,3478
699950,3,2.25,2190,107593,4,8,2190,1983,2570,47777
1.088e+006,3,2.5,2920,8113,3,8,2920,1950,2370,8113
290000,3,1,1210,33919,3,7,1210,1954,1640,14910
375000,3,2.5,2340,10005,4,8,1460,1978,2250,8162
460000,3,1,1670,4005,4,7,1170,1939,1240,4005
188500,2,1.75,1240,2493,4,8,1240,1985,1270,4966
680000,4,2.5,3140,28037,4,10,3140,1991,2990,35001
470000,5,1.75,2030,12342,4,7,2030,1942,2500,9433
597750,4,2.5,2310,9624,3,8,2310,1984,1940,9636
570000,3,1.75,1260,3328,5,6,700,1905,1380,3536
272500,3,1.75,1540,12600,4,7,1160,1980,1540,11656
329950,3,1.75,2080,5969,3,7,1080,1971,2090,5500
480000,4,2.5,3230,16171,3,9,2520,2001,2640,8517
740500,3,3.5,4380,6350,3,8,2780,1900,1830,6350
518500,3,3.5,1590,1102,3,8,1590,2010,1620,3166
205425,2,1,880,6780,4,6,880,1945,1190,6780
171800,4,2,1570,9600,3,6,1570,1950,1880,9000
535000,4,1,1610,2982,4,7,1610,1925,1610,4040
660000,3,2.5,2400,6474,3,8,1560,1964,2340,10856
391500,3,2,1450,9132,3,7,1450,1987,1580,9104
395000,2,1,770,6000,3,6,770,1953,1710,6000
445000,4,1.75,2100,4400,5,7,1720,1924,1850,4400
770000,3,2.25,2910,10204,3,9,2910,1990,2700,13992
1.45e+006,4,2.75,2750,17789,3,8,1980,1914,3060,11275
445000,3,2.25,2100,8201,3,8,1620,1967,2660,8712
260000,4,2.25,2160,8811,3,8,1360,1978,2090,8400
822500,5,3.5,2320,4960,5,7,1720,1926,1700,4960
430000,4,2.5,2070,4310,3,7,2070,2004,1970,3748
212000,3,1.75,1060,7875,4,7,1060,1986,1420,7680
660500,4,2.25,2010,9603,3,8,1440,1986,2060,9793
784000,3,3.5,3950,111078,3,9,2460,1989,2480,88500
453246,3,2.5,2010,2287,3,8,1390,2014,1690,1662
675000,4,3.5,2140,2278,3,9,2140,2005,1540,2285
199000,3,1.75,1320,17390,4,7,1320,1956,1550,19265
220000,4,1.75,2020,7840,3,7,1010,1968,1750,8140
452000,4,2.25,2590,10002,4,8,1340,1968,1550,10436
382500,2,1,1190,4440,3,6,1190,1981,1060,5715
519950,3,2.25,1170,1249,3,8,1170,2014,1350,1310
665000,2,1,1110,3200,3,7,1110,1925,1170,3600
527700,5,2.5,2820,9375,4,8,1550,1968,2820,9375
205000,3,1,1610,8579,4,7,1010,1962,1610,8579
420000,3,1,1060,8097,4,7,940,1923,1560,7940
500000,4,2.25,2030,8517,4,8,1380,1961,2230,8824
921500,4,2.5,3670,315374,4,9,3670,1994,2840,87991
890000,4,1,2550,4000,3,8,2370,1905,2200,4000
430000,2,2.5,2420,60984,3,7,2420,2007,1940,193842
258000,5,2,2260,12500,4,8,1130,1960,1360,18000
511000,3,1,1430,3455,3,7,980,1947,1450,4599
532170,3,2,1360,3090,3,8,1360,1990,1500,3090
560000,3,1,1110,5000,3,7,1110,1947,1420,5000
282950,3,1,1250,8200,4,7,1250,1954,1680,8633
2.25e+006,4,3.25,5180,19850,3,12,3540,2006,3160,9750
350000,1,1,700,5100,3,7,700,1942,1010,5100
215000,3,1,1180,7669,4,7,1180,1967,1190,7669
650000,5,3.5,3960,25245,3,9,2500,1996,2640,13675
320000,4,2.75,2640,7500,3,8,1620,1967,1980,7875
247000,3,2,1270,7198,3,7,1270,1916,1160,7198
320000,4,1.75,1760,11180,4,8,1760,1968,1730,11180
